Symbol,Timeframe,Price,MA50,MA150,MA200,MA200 slope %,52W High,52W Low,% Above 52W Low,% Below 52W High,RS Rating,Score,TradingView,P > MA50,P > MA150,P > MA200,MA50 > MA150,MA150 > MA200,MA200 Rising,25% Above 52W Low,Within 25% 52W High,RS > Threshold
MAHABANK,4h,84.87999725341797,83.27799987792969,83.25413330078125,82.51150001525879,1.490659270833472,94.5,52.24685139086835,62.45954539617138,11.333651104936449,86.94444444444444,9,https://www.tradingview.com/symbols/MAHABANK/?exchange=NSE,True,True,True,True,True,True,True,True,True
RBLBANK,4h,415.04998779296875,402.5179998779297,382.78399963378905,372.13425018310545,4.139521773840671,429.6000061035156,260.9244632419414,59.06902044984372,3.5056062494825513,86.38888888888889,9,https://www.tradingview.com/symbols/RBLBANK/?exchange=NSE,True,True,True,True,True,True,True,True,True
CARBORUNIV,4h,1275.199951171875,1128.273994140625,1115.2746630859374,1096.9949975585937,3.1015908510532153,1368.9000244140625,733.4511840295453,73.86296169923514,7.347873026193241,86.25,9,https://www.tradingview.com/symbols/CARBORUNIV/?exchange=NSE,True,True,True,True,True,True,True,True,True
GNFC,4h,632.0,585.277001953125,550.2633341471354,539.100750579834,3.7452942269847522,636.0,351.9886096859767,79.55126461729338,0.6329113924050667,85.83333333333333,9,https://www.tradingview.com/symbols/GNFC/?exchange=NSE,True,True,True,True,True,True,True,True,True
BOSCHLTD,4h,48250.0,48089.1,44046.53333333333,42276.8,4.426804002754148,50000.0,28422.960694251175,69.75712178273898,3.626943005181338,83.47222222222223,9,https://www.tradingview.com/symbols/BOSCHLTD/?exchange=NSE,True,True,True,True,True,True,True,True,True
EMCURE,4h,1950.5999755859375,1917.2520068359374,1879.6240006510416,1836.552000732422,2.727415388294574,2100.699951171875,1257.554251234414,55.110602478678786,7.695067028843217,83.19444444444444,9,https://www.tradingview.com/symbols/EMCURE/?exchange=NSE,True,True,True,True,True,True,True,True,True
ASKAUTOLTD,4h,645.1500244140625,628.9879992675782,555.397666015625,527.6179997253417,6.344526628721603,687.7000122070312,373.9332517882958,72.53079829854698,6.595363277187105,82.36111111111111,9,https://www.tradingview.com/symbols/ASKAUTOLTD/?exchange=NSE,True,True,True,True,True,True,True,True,True
AJANTPHARM,4h,3547.800048828125,3537.4040087890626,3435.3406656901043,3344.668995361328,3.63343174179116,3796.0,2283.1397649802702,55.39127754006699,6.995883301085648,81.52777777777777,9,https://www.tradingview.com/symbols/AJANTPHARM/?exchange=NSE,True,True,True,True,True,True,True,True,True
TI,4h,580.1500244140625,555.2859936523438,497.9463319905599,483.17474884033203,3.3079182447468103,607.7999877929688,380.8184953584051,52.342922280615014,4.766002277916304,80.97222222222223,9,https://www.tradingview.com/symbols/TI/?exchange=NSE,True,True,True,True,True,True,True,True,True
LALPATHLAB,4h,1945.0,1912.5039990234375,1810.3813330078126,1758.9845007324218,4.7307891481587205,2038.5999755859375,1266.1614521067843,53.613901036371516,4.812338076397804,80.69444444444444,9,https://www.tradingview.com/symbols/LALPATHLAB/?exchange=NSE,True,True,True,True,True,True,True,True,True
TORNTPHARM,4h,4988.5,4925.23,4851.854007161458,4745.024006347656,2.6334373305787695,5250.0,3450.040733610751,44.59249571755419,5.242056730480105,80.55555555555556,9,https://www.tradingview.com/symbols/TORNTPHARM/?exchange=NSE,True,True,True,True,True,True,True,True,True
AARTIPHARM,4h,939.5499877929688,853.6710034179688,763.0463346354167,744.7327508544922,3.399165772029167,962.0,583.5851680913014,60.99620743719398,2.3894430843181658,79.16666666666666,9,https://www.tradingview.com/symbols/AARTIPHARM/?exchange=NSE,True,True,True,True,True,True,True,True,True
GABRIEL,4h,1386.699951171875,1364.8039990234374,1344.8446659342449,1279.3179992675782,4.811250532088662,1596.6964052725275,794.0570601010174,74.63479904019283,15.14361155945727,78.61111111111111,9,https://www.tradingview.com/symbols/GABRIEL/?exchange=NSE,True,True,True,True,True,True,True,True,True
ACE,4h,1226.5999755859375,1162.4779931640626,1074.672333170573,1028.8730004882811,4.459838223925061,1268.0,743.7339869667156,64.92455596772824,3.375185491446464,77.91666666666667,9,https://www.tradingview.com/symbols/ACE/?exchange=NSE,True,True,True,True,True,True,True,True,True
JYOTICNC,4h,1063.0,1018.5280004882812,867.9509985351563,819.1412493896485,5.988961118488478,1134.5999755859375,580.0999755859375,83.24427594162593,6.735651513258456,77.63888888888889,9,https://www.tradingview.com/symbols/JYOTICNC/?exchange=NSE,True,True,True,True,True,True,True,True,True
SHYAMMETL,4h,1085.5999755859375,1070.6660021972657,1019.2463334147135,997.8237506103516,3.9231135330225486,1148.0,742.7285204868352,46.16376585005255,5.747975849058307,77.36111111111111,9,https://www.tradingview.com/symbols/SHYAMMETL/?exchange=NSE,True,True,True,True,True,True,True,True,True
APLAPOLLO,4h,2214.699951171875,2183.6540087890626,1979.914669596354,1950.136001586914,1.4461307623149677,2292.568366695916,1646.9555379628491,34.47235824661543,3.51598036938765,77.22222222222223,9,https://www.tradingview.com/symbols/APLAPOLLO/?exchange=NSE,True,True,True,True,True,True,True,True,True
ZYDUSLIFE,4h,1203.9000244140625,1145.2380053710938,1129.764668782552,1105.4525024414063,3.3899181660709043,1208.5999755859375,834.749872350541,44.22284618313812,0.3903938098317239,76.80555555555556,9,https://www.tradingview.com/symbols/ZYDUSLIFE/?exchange=NSE,True,True,True,True,True,True,True,True,True
MEDANTA,4h,1496.9000244140625,1457.6419995117187,1388.9040014648438,1346.940003051758,4.470501282292805,1544.0,955.6610489257978,56.635035622372556,3.1465010901027934,76.52777777777777,9,https://www.tradingview.com/symbols/MEDANTA/?exchange=NSE,True,True,True,True,True,True,True,True,True
PVRINOX,4h,1250.0,1244.5519946289062,1117.044665934245,1087.810748901367,4.023632197254123,1357.800048828125,907.4000244140625,37.75622287503963,8.62400390625,75.83333333333333,9,https://www.tradingview.com/symbols/PVRINOX/?exchange=NSE,True,True,True,True,True,True,True,True,True
EDELWEISS,4h,136.75999450683594,132.2820002746582,124.0517332458496,121.43324985504151,2.2096145908310216,146.0,96.92496747850444,41.09882939828267,6.756365797237729,75.41666666666667,9,https://www.tradingview.com/symbols/EDELWEISS/?exchange=NSE,True,True,True,True,True,True,True,True,True
MOTILALOFS,4h,1029.0,1019.2510009765625,954.9743339029948,930.9665005493164,4.0418238925735706,1088.3156211947492,614.9000244140625,67.34427697909638,5.764394673930928,74.30555555555556,9,https://www.tradingview.com/symbols/MOTILALOFS/?exchange=NSE,True,True,True,True,True,True,True,True,True
SAREGAMA,4h,497.79998779296875,497.48799682617187,497.0153310139974,474.3997480773926,5.663372646872,574.5,307.04998779296875,62.12343513545908,15.40779712492284,74.16666666666667,9,https://www.tradingview.com/symbols/SAREGAMA/?exchange=NSE,True,True,True,True,True,True,True,True,True
METROPOLIS,4h,582.5999755859375,582.3160009765625,566.7496663411458,558.378250579834,3.3611739184815637,609.0499877929688,411.4375158286193,41.6010823448133,4.539995419744014,73.05555555555556,9,https://www.tradingview.com/symbols/METROPOLIS/?exchange=NSE,True,True,True,True,True,True,True,True,True
JSWINFRA,4h,362.0,341.9500018310547,330.9320001220703,316.78324951171874,3.73461086437068,375.5,232.71809982894663,55.55300609023477,3.7292817679557944,72.91666666666666,9,https://www.tradingview.com/symbols/JSWINFRA/?exchange=NSE,True,True,True,True,True,True,True,True,True
SPLPETRO,4h,881.0,783.0979992675781,741.4110005696615,730.0102502441406,1.2467037564036998,965.127357372077,457.2664603074991,92.66665641900606,9.549075751654602,72.08333333333333,9,https://www.tradingview.com/symbols/SPLPETRO/?exchange=NSE,True,True,True,True,True,True,True,True,True
APOLLOHOSP,4h,8889.0,8816.28,8775.443333333333,8626.7875,2.2698915215377147,9070.5,6679.845437739152,33.07194130241064,2.04184947688153,70.27777777777777,9,https://www.tradingview.com/symbols/APOLLOHOSP/?exchange=NSE,True,True,True,True,True,True,True,True,True
JKPAPER,4h,408.45001220703125,407.2339990234375,382.96433247884113,380.64274963378904,2.0025053372078716,442.0,301.6864340741184,35.388922428869705,8.21397644516737,70.13888888888889,9,https://www.tradingview.com/symbols/JKPAPER/?exchange=NSE,True,True,True,True,True,True,True,True,True
CUPID,4h,270.75,276.8322009277344,238.37266693115234,210.84885009765625,14.92514293708831,299.0,41.816001892089844,547.4794044124449,10.433979686057238,99.86111111111111,8,https://www.tradingview.com/symbols/CUPID/?exchange=NSE,False,True,True,True,True,True,True,True,True
SKYGOLD,4h,794.0,801.3290014648437,687.1023347981771,638.7172512817383,10.633436124922468,868.7999877929688,259.0,206.56370656370657,9.420653374429321,99.02777777777779,8,https://www.tradingview.com/symbols/SKYGOLD/?exchange=NSE,False,True,True,True,True,True,True,True,True
DIACABS,4h,353.0,353.5029992675781,297.39533294677733,270.5926496887207,14.135466576042543,404.0,115.56999969482422,205.44258971371187,14.44759206798867,98.88888888888889,8,https://www.tradingview.com/symbols/DIACABS/?exchange=NSE,False,True,True,True,True,True,True,True,True
ATHERENERG,4h,1497.0,1570.522001953125,1346.2786669921875,1247.454250793457,9.838935997812847,1744.0,534.5,180.07483629560338,16.499665998663993,98.47222222222223,8,https://www.tradingview.com/symbols/ATHERENERG/?exchange=NSE,False,True,True,True,True,True,True,True,True
PARAS,4h,1320.0,1421.7140063476563,1317.3856685384114,1200.2922525024414,9.35918594313816,1583.9105379095645,580.1009628646058,127.54659697196277,19.99322256890641,96.38888888888889,8,https://www.tradingview.com/symbols/PARAS/?exchange=NSE,False,True,True,True,True,True,True,True,True
RRKABEL,4h,2528.0,2594.02400390625,2512.3453287760417,2387.2314965820315,7.006330029568564,2983.800048828125,1175.2575873580836,115.1017808515331,18.03006522263153,96.25,8,https://www.tradingview.com/symbols/RRKABEL/?exchange=NSE,False,True,True,True,True,True,True,True,True
TMB,4h,881.9000244140625,903.9439990234375,839.8076652018229,807.280998840332,4.739091642600846,954.2000122070312,413.1587106622762,113.45308755572732,8.198206802523345,95.97222222222223,8,https://www.tradingview.com/symbols/TMB/?exchange=NSE,False,True,True,True,True,True,True,True,True
LLOYDSENGG,4h,98.55999755859375,85.44739944458007,87.02593312581381,82.7532498550415,6.072151701223882,99.6500015258789,37.297425311917706,164.25415892474678,1.1059293773187706,95.69444444444444,8,https://www.tradingview.com/symbols/LLOYDSENGG/?exchange=NSE,True,True,True,False,True,True,True,True,True
CHENNPETRO,4h,1379.0,1427.7079956054688,1288.2439982096355,1236.142999267578,5.800826289766192,1677.5,681.4494121069772,102.36278372245744,21.64612037708484,94.72222222222221,8,https://www.tradingview.com/symbols/CHENNPETRO/?exchange=NSE,False,True,True,True,True,True,True,True,True
MCX,4h,3324.89990234375,3285.7959912109377,2970.8766650390626,3004.7190002441407,2.4902163766199914,3481.39990234375,1541.323282972979,115.71723071168574,4.706908616697958,94.16666666666667,8,https://www.tradingview.com/symbols/MCX/?exchange=NSE,True,True,True,True,False,True,True,True,True
AZAD,4h,2740.0,2779.157998046875,2483.6506640625,2390.442501220703,5.541678597176003,2986.60009765625,1360.0,101.47058823529412,9.000003564096716,94.02777777777777,8,https://www.tradingview.com/symbols/AZAD/?exchange=NSE,False,True,True,True,True,True,True,True,True
ARVIND,4h,550.25,553.8499987792969,540.6643322753906,523.4122496032714,5.614977376290686,607.1500244140625,275.6944407527197,99.58690443582034,10.34075863953885,93.33333333333333,8,https://www.tradingview.com/symbols/ARVIND/?exchange=NSE,False,True,True,True,True,True,True,True,True
KRN,4h,1381.5999755859375,1509.9399975585939,1343.8733317057292,1300.4684985351562,3.843002778195914,1687.0,589.7999877929688,134.2488986403482,22.10480817970064,92.5,8,https://www.tradingview.com/symbols/KRN/?exchange=NSE,False,True,True,True,True,True,True,True,True
BHEL,4h,418.95001220703125,424.6110015869141,412.07466756184897,409.6002508544922,4.0160163874319865,446.5,228.8019259330385,83.1059815159256,6.575960613495457,92.22222222222223,8,https://www.tradingview.com/symbols/BHEL/?exchange=NSE,False,True,True,True,True,True,True,True,True
