Symbol,Timeframe,Price,MA50,MA150,MA200,MA200 slope %,52W High,52W Low,% Above 52W Low,% Below 52W High,RS Rating,Score,TradingView,P > MA50,P > MA150,P > MA200,MA50 > MA150,MA150 > MA200,MA200 Rising,25% Above 52W Low,Within 25% 52W High,RS > Threshold
HONASA,daily,473.6000061035156,467.2097344970703,392.40540588378906,363.45228607177734,6.089569775908976,506.64561650495574,246.8630140577539,91.84729146696569,6.977535890110875,93.06518723994452,9,https://www.tradingview.com/symbols/HONASA/?exchange=NSE,True,True,True,True,True,True,True,True,True
GLAND,daily,2940.199951171875,2734.8788623046876,2225.5306022135414,2099.38358581543,6.09413508678982,3042.0,1561.8007505195303,88.257045605454,3.4623512182411442,92.6490984743412,9,https://www.tradingview.com/symbols/GLAND/?exchange=NSE,True,True,True,True,True,True,True,True,True
LUMAXTECH,daily,2068.800048828125,1814.4073071289063,1686.5888492838542,1643.8961114501953,4.122733726788286,2148.699951171875,1091.2536653252578,89.58012372050095,3.862137493133244,92.51040221914009,9,https://www.tradingview.com/symbols/LUMAXTECH/?exchange=NSE,True,True,True,True,True,True,True,True,True
CRAFTSMAN,daily,11006.0,10469.8617578125,8937.97912109375,8566.253732910156,5.821436756411069,11999.0,6316.2925601072975,74.24778689815845,9.022351444666544,92.37170596393898,9,https://www.tradingview.com/symbols/CRAFTSMAN/?exchange=NSE,True,True,True,True,True,True,True,True,True
BLUESTONE,daily,845.4500122070312,802.4340051269531,600.7840028889974,570.3137518310547,5.046019906580668,926.0,399.79998779296875,111.46824362706997,9.527468996386258,92.23300970873787,9,https://www.tradingview.com/symbols/BLUESTONE/?exchange=NSE,True,True,True,True,True,True,True,True,True
YATHARTH,daily,1125.300048828125,908.1759631347657,814.5913033040365,774.2383093261719,3.311061739081933,1184.0,537.9315639475303,109.19018779457352,5.216382175847634,91.81692094313453,9,https://www.tradingview.com/symbols/YATHARTH/?exchange=NSE,True,True,True,True,True,True,True,True,True
SHRIPISTON,daily,4508.7001953125,4426.620771484375,3757.1418489583334,3574.0830517578124,6.073364712590967,4785.7998046875,2518.619011912407,79.01477650996563,6.145886782693788,91.67822468793344,9,https://www.tradingview.com/symbols/SHRIPISTON/?exchange=NSE,True,True,True,True,True,True,True,True,True
WELENT,daily,784.7000122070312,655.4619970703125,556.4266463216146,540.2193153381347,4.082722316474885,841.9000244140625,409.9812045484441,91.39902110178556,7.289411407825996,91.53952843273233,9,https://www.tradingview.com/symbols/WELENT/?exchange=NSE,True,True,True,True,True,True,True,True,True
DIVISLAB,daily,9410.5,8496.126220703125,7125.580166015625,6913.063049316406,4.461417790590039,9615.0,5613.352076705792,67.64492715594233,2.1731045109186553,91.40083217753121,9,https://www.tradingview.com/symbols/DIVISLAB/?exchange=NSE,True,True,True,True,True,True,True,True,True
PGIL,daily,1138.4000244140625,1121.5740002441407,915.8762565104166,883.8410668945312,4.806346041687992,1269.800048828125,594.6744698202933,91.4324697271903,11.542517708719702,91.2621359223301,9,https://www.tradingview.com/symbols/PGIL/?exchange=NSE,True,True,True,True,True,True,True,True,True
NEULANDLAB,daily,22610.0,21674.484453125,17520.553860677082,16762.780864257813,4.123658096864546,24225.0,11478.786028437366,96.9720486468372,7.14285714285714,91.12343966712899,9,https://www.tradingview.com/symbols/NEULANDLAB/?exchange=NSE,True,True,True,True,True,True,True,True,True
VIJAYA,daily,1556.0999755859375,1434.4821337890626,1237.3029268391927,1178.2544976806641,4.650213065049247,1575.8140073258473,846.8252647277601,83.7569142538747,1.2668872212074023,90.98474341192788,9,https://www.tradingview.com/symbols/VIJAYA/?exchange=NSE,True,True,True,True,True,True,True,True,True
MSTCLTD,daily,729.8499755859375,659.5790710449219,543.0689825439454,524.2654795837402,4.9911205029460115,795.731978165477,357.9805560549056,103.87978152478095,9.026786981344781,90.70735090152566,9,https://www.tradingview.com/symbols/MSTCLTD/?exchange=NSE,True,True,True,True,True,True,True,True,True
WOCKPHARMA,daily,2187.300048828125,1966.2619970703124,1705.719327799479,1627.1814935302734,4.942180216867431,2422.300048828125,1086.699951171875,101.27911540525841,10.743839196908734,90.56865464632455,9,https://www.tradingview.com/symbols/WOCKPHARMA/?exchange=NSE,True,True,True,True,True,True,True,True,True
REDINGTON,daily,392.04998779296875,339.3729998779297,268.3954778035482,267.4884072875977,4.0101769456754255,413.20001220703125,187.19874597305954,109.42981522397064,5.394726456471988,90.42995839112345,9,https://www.tradingview.com/symbols/REDINGTON/?exchange=NSE,True,True,True,True,True,True,True,True,True
VARROC,daily,872.5499877929688,777.5351379394531,628.7066223144532,619.708616027832,3.569769471856099,896.0,461.0607825414901,89.24836395393257,2.6875265068017296,90.29126213592234,9,https://www.tradingview.com/symbols/VARROC/?exchange=NSE,True,True,True,True,True,True,True,True,True
NAVINFLUOR,daily,8486.5,8155.09,7241.913238932291,6931.642565917969,4.264659395480308,8949.5,4488.291781017636,89.08084442932196,5.4557237966181615,90.15256588072123,9,https://www.tradingview.com/symbols/NAVINFLUOR/?exchange=NSE,True,True,True,True,True,True,True,True,True
ICIL,daily,436.1499938964844,421.2670587158203,343.9762582397461,325.623610534668,4.803869476407696,474.6499938964844,216.04358355223812,101.88055887854026,8.827238458964093,90.01386962552012,9,https://www.tradingview.com/symbols/ICIL/?exchange=NSE,True,True,True,True,True,True,True,True,True
JINDALSAW,daily,293.04998779296875,280.7280004882812,241.5033955891927,223.83834289550782,7.193840432396437,320.0,151.60325107352764,93.30059594225943,9.196387418405427,89.73647711511789,9,https://www.tradingview.com/symbols/JINDALSAW/?exchange=NSE,True,True,True,True,True,True,True,True,True
GRANULES,daily,875.1500244140625,858.1106567382812,751.9959114583334,709.0315603637696,5.026058073400486,923.6500244140625,509.48866067465497,71.77026535884153,5.541906947037112,89.59778085991678,9,https://www.tradingview.com/symbols/GRANULES/?exchange=NSE,True,True,True,True,True,True,True,True,True
ALIVUS,daily,1400.4000244140625,1297.5758349609375,1115.990537923177,1061.9553634643555,5.207032668825584,1488.4866814641196,816.0868402393627,71.59938812434687,6.290106791944194,89.45908460471568,9,https://www.tradingview.com/symbols/ALIVUS/?exchange=NSE,True,True,True,True,True,True,True,True,True
RADICO,daily,4480.0,4429.226665039063,3642.8993229166667,3484.7751599121093,4.121555393047127,4747.0,2494.465428414862,79.59759830573678,5.959821428571432,89.04299583911235,9,https://www.tradingview.com/symbols/RADICO/?exchange=NSE,True,True,True,True,True,True,True,True,True
DYNAMATECH,daily,12169.0,11175.43154296875,10704.618971354166,10280.601391601562,2.9304231492053967,12865.829460466755,6707.758197256808,81.41679592708951,5.726267240256022,88.90429958391124,9,https://www.tradingview.com/symbols/DYNAMATECH/?exchange=NSE,True,True,True,True,True,True,True,True,True
CGCL,daily,268.8500061035156,246.68886627197264,209.4271206665039,201.71210472106932,3.738898021409831,287.45001220703125,150.98878430750037,78.05958723131496,6.918358073740949,88.76560332871013,9,https://www.tradingview.com/symbols/CGCL/?exchange=NSE,True,True,True,True,True,True,True,True,True
